Dates,Year,Month,Day,Hour,Rented Bike Count,RR1,FF,DD,FXI,T,TD,U,DHUMI80,TSV,VV,GLO,weekday,Seasons,Holiday
2023-01-01,2023,1,1,0,52,0.0,3.8,100.0,10.5,13.4,10.8,84.0,60.0,12.9,34060.0,0.0,Sunday,Hiver,Public Holiday
2023-01-01,2023,1,1,1,55,0.0,3.8,80.0,9.4,13.6,10.8,83.0,60.0,12.9,39322.0,0.0,Sunday,Hiver,Public Holiday
2023-01-01,2023,1,1,2,58,0.0,3.8,100.0,8.1,13.9,10.6,81.0,60.0,12.8,39468.0,0.0,Sunday,Hiver,Public Holiday
2023-01-01,2023,1,1,3,77,0.0,5.0,90.0,10.8,14.0,10.8,81.0,60.0,12.9,38313.0,0.0,Sunday,Hiver,Public Holiday
2023-01-01,2023,1,1,4,43,0.0,5.3,100.0,11.7,14.4,11.2,81.0,60.0,13.3,41397.0,0.0,Sunday,Hiver,Public Holiday
2023-01-01,2023,1,1,5,24,0.0,5.3,100.0,10.7,13.9,11.2,84.0,60.0,13.3,21421.0,0.0,Sunday,Hiver,Public Holiday
2023-01-01,2023,1,1,6,20,0.0,4.6,100.0,11.2,14.1,11.2,83.0,60.0,13.3,38869.0,0.0,Sunday,Hiver,Public Holiday
2023-01-01,2023,1,1,7,8,0.0,5.7,100.0,10.6,14.2,11.6,84.0,60.0,13.6,41572.0,0.0,Sunday,Hiver,Public Holiday
2023-01-01,2023,1,1,8,21,0.0,5.5,110.0,11.3,14.3,11.4,83.0,60.0,13.5,38903.0,5.0,Sunday,Hiver,Public Holiday
2023-01-01,2023,1,1,9,20,0.0,5.3,110.0,10.8,14.9,11.7,81.0,60.0,13.7,42404.0,24.0,Sunday,Hiver,Public Holiday
2023-01-01,2023,1,1,10,47,0.0,3.9,130.0,10.8,15.6,12.1,80.0,60.0,14.1,18930.0,63.0,Sunday,Hiver,Public Holiday
2023-01-01,2023,1,1,11,75,0.0,6.3,110.0,12.8,15.6,11.3,76.0,11.0,13.4,16074.0,114.0,Sunday,Hiver,Public Holiday
2023-01-01,2023,1,1,12,99,0.0,4.7,120.0,13.8,15.6,11.3,76.0,0.0,13.4,33253.0,98.0,Sunday,Hiver,Public Holiday
2023-01-01,2023,1,1,13,56,0.0,4.5,130.0,11.2,15.8,11.2,74.0,0.0,13.3,30275.0,96.0,Sunday,Hiver,Public Holiday
2023-01-01,2023,1,1,14,113,0.0,4.1,120.0,9.1,15.7,11.1,74.0,0.0,13.2,37129.0,72.0,Sunday,Hiver,Public Holiday
2023-01-01,2023,1,1,15,129,0.0,2.7,120.0,8.8,14.9,11.3,79.0,0.0,13.4,36956.0,58.0,Sunday,Hiver,Public Holiday
2023-01-01,2023,1,1,16,153,0.0,3.1,120.0,8.7,14.2,11.2,82.0,29.0,13.3,36708.0,11.0,Sunday,Hiver,Public Holiday
2023-01-01,2023,1,1,17,134,0.0,2.6,110.0,8.8,13.5,11.0,85.0,60.0,13.1,31236.0,0.0,Sunday,Hiver,Public Holiday
2023-01-01,2023,1,1,18,64,0.0,3.8,100.0,8.4,13.0,10.4,84.0,60.0,12.6,32884.0,0.0,Sunday,Hiver,Public Holiday
2023-01-01,2023,1,1,19,66,0.0,3.2,110.0,8.1,12.5,10.0,85.0,60.0,12.3,35155.0,0.0,Sunday,Hiver,Public Holiday
2023-01-01,2023,1,1,20,51,0.0,3.6,110.0,8.5,12.7,10.3,85.0,60.0,12.5,35501.0,0.0,Sunday,Hiver,Public Holiday
2023-01-01,2023,1,1,21,31,0.0,4.2,110.0,9.2,12.7,10.0,84.0,60.0,12.3,32539.0,0.0,Sunday,Hiver,Public Holiday
2023-01-01,2023,1,1,22,29,0.0,4.0,120.0,9.9,12.5,9.9,84.0,60.0,12.2,39086.0,0.0,Sunday,Hiver,Public Holiday
2023-01-01,2023,1,1,23,24,0.0,3.6,110.0,9.0,12.3,9.7,84.0,60.0,12.0,38452.0,0.0,Sunday,Hiver,Public Holiday
2023-01-02,2023,1,2,0,19,0.0,4.3,110.0,9.4,12.2,9.8,85.0,60.0,12.1,43831.0,0.0,Monday,Hiver,No Holiday
2023-01-02,2023,1,2,1,5,0.0,3.3,120.0,8.3,11.8,9.3,85.0,60.0,11.7,46794.0,0.0,Monday,Hiver,No Holiday
2023-01-02,2023,1,2,2,4,0.0,3.5,100.0,7.4,11.6,9.2,85.0,60.0,11.6,48007.0,0.0,Monday,Hiver,No Holiday
2023-01-02,2023,1,2,3,8,0.0,3.6,120.0,8.9,11.8,9.3,85.0,60.0,11.7,47722.0,0.0,Monday,Hiver,No Holiday
2023-01-02,2023,1,2,4,2,0.0,3.3,110.0,7.9,11.7,9.6,87.0,60.0,11.9,48963.0,0.0,Monday,Hiver,No Holiday
2023-01-02,2023,1,2,5,3,0.0,2.8,110.0,7.7,11.8,9.6,86.0,60.0,11.9,48544.0,0.0,Monday,Hiver,No Holiday
2023-01-02,2023,1,2,6,6,0.0,3.5,110.0,7.7,12.1,9.4,84.0,60.0,11.8,46483.0,0.0,Monday,Hiver,No Holiday
2023-01-02,2023,1,2,7,37,0.0,3.7,100.0,7.6,12.4,9.4,82.0,60.0,11.8,43582.0,0.0,Monday,Hiver,No Holiday
2023-01-02,2023,1,2,8,95,0.0,1.7,140.0,6.4,12.5,9.3,81.0,60.0,11.7,40879.0,6.0,Monday,Hiver,No Holiday
2023-01-02,2023,1,2,9,60,0.0,1.8,110.0,4.9,13.4,9.8,79.0,38.0,12.1,43239.0,26.0,Monday,Hiver,No Holiday
2023-01-02,2023,1,2,10,62,0.0,3.0,110.0,8.4,14.9,10.3,74.0,0.0,12.5,22291.0,64.0,Monday,Hiver,No Holiday
2023-01-02,2023,1,2,11,70,0.0,3.7,120.0,9.6,16.5,10.2,66.0,0.0,12.4,28345.0,125.0,Monday,Hiver,No Holiday
2023-01-02,2023,1,2,12,127,0.0,4.5,100.0,12.3,17.0,9.9,63.0,0.0,12.2,27165.0,132.0,Monday,Hiver,No Holiday
2023-01-02,2023,1,2,13,106,0.0,3.6,110.0,9.7,17.2,9.8,62.0,0.0,12.1,39826.0,92.0,Monday,Hiver,No Holiday
2023-01-02,2023,1,2,14,136,0.0,3.4,110.0,9.3,16.3,9.0,62.0,0.0,11.5,48549.0,65.0,Monday,Hiver,No Holiday
2023-01-02,2023,1,2,15,149,0.0,2.5,110.0,7.0,15.3,9.2,67.0,0.0,11.6,48809.0,37.0,Monday,Hiver,No Holiday
2023-01-02,2023,1,2,16,137,0.0,1.3,100.0,6.9,14.0,9.7,75.0,0.0,12.0,40076.0,12.0,Monday,Hiver,No Holiday
2023-01-02,2023,1,2,17,195,0.0,1.6,70.0,4.4,13.1,9.6,79.0,21.0,11.9,33085.0,0.0,Monday,Hiver,No Holiday
